Layer_primary,Layer_secondary,Frozen Percentage,FC Network ,Accuracy ,F1,TYPE
12,,0,,0.858035714,0.782345308,Layer
11,,0,,0.8625,0.798364894,Layer
10,,0,,0.852678571,0.779125872,Layer
9,,0,,0.848214286,0.777596848,Layer
8,,0,,0.838392857,0.764844555,Layer
7,,0,,0.825892857,0.740341827,Layer
6,,0,,0.808928571,0.711646171,Layer
5,,0,,0.785714286,0.671074036,Layer
4,,0,,0.784821429,0.683939071,Layer
3,,0,,0.784821429,0.662443821,Layer
2,,0,,0.775892857,0.681842455,Layer
1,,0,,0.763392857,0.624107085,Layer
0,,0,,0.65,0.262626263,Layer
12,,0,,0.858035714,0.782345308,Frozen
12,,0.1,,0.855357143,0.786117263,Frozen
12,,0.25,,0.8625,0.796046916,Frozen
12,,0.5,,0.855357143,0.780709546,Frozen
12,,0.75,,0.854464286,0.795547384,Frozen
12,,0.9,,0.8375,0.758097319,Frozen
12,,1,,0.736607143,0.557251461,Frozen
12,11,0,FC1,0.860714286,0.795198268,Sum
11,10,0,FC1,0.857142857,0.785745614,Sum
10,9,0,FC1,0.844642857,0.773993142,Sum
9,8,0,FC1,0.841964286,0.759807839,Sum
8,7,0,FC1,0.81875,0.723390094,Sum
12,11,0.25,FC1,0.860714286,0.788263573,Sum
11,10,0.25,FC1,0.8625,0.799830533,Sum
10,9,0.25,FC1,0.850892857,0.773927226,Sum
9,8,0.25,FC1,0.846428571,0.777950625,Sum
8,7,0.25,FC1,0.833035714,0.742166486,Sum
12,11,0.5,FC1,0.848214286,0.765322145,Sum
11,10,0.5,FC1,0.860714286,0.796327394,Sum
10,9,0.5,FC1,0.846428571,0.768944868,Sum
9,8,0.5,FC1,0.845535714,0.770308586,Sum
8,7,0.5,FC1,0.819642857,0.725171321,Sum
12,11,0.75,FC1,0.850892857,0.783628595,Sum
11,10,0.75,FC1,0.838392857,0.754159727,Sum
10,9,0.75,FC1,0.830357143,0.742412525,Sum
9,8,0.75,FC1,0.708035714,0.502658581,Sum
8,7,0.75,FC1,0.710714286,0.512685004,Sum
12,10,0,FC1,0.855357143,0.786747621,Sum
11,9,0,FC1,0.858035714,0.794807907,Sum
10,8,0,FC1,0.8625,0.796930926,Sum
,,,,,,